%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407442590968061489,0.0,0.0,0.0,0.0,0.0,0.0
1407442590969072199,0.0,0.0,0.0,0.0,0.0,0.0
1407442590970054801,0.0,0.0,0.0,0.0,0.0,0.0
1407442590971112545,0.0,0.0,0.0,0.0,0.0,0.0
1407442590972099001,0.0,0.0,0.0,0.0,0.0,0.0
1407442590973084380,0.0,0.0,0.0,0.0,0.0,0.0
1407442590974077702,0.0,0.0,0.0,0.0,0.0,0.0
1407442590975011916,0.0,0.0,0.0,0.0,0.0,0.0
1407442590976019734,0.0,0.0,0.0,0.0,0.0,0.0
1407442590977007463,0.0,0.0,0.0,0.0,0.0,0.0
1407442590977995458,0.0,0.0,0.0,0.0,0.0,0.0
1407442590979054724,0.0,0.0,0.0,0.0,0.0,0.0
1407442590980024379,0.0,0.0,0.0,0.0,0.0,0.0
1407442590981042857,0.0,0.0,0.0,0.0,0.0,0.0
1407442590982005452,0.0,0.0,0.0,0.0,0.0,0.0
1407442590983062803,0.0,0.0,0.0,0.0,0.0,0.0
1407442590983998066,0.0,0.0,0.0,0.0,0.0,0.0
1407442590985060310,0.0,0.0,0.0,0.0,0.0,0.0
1407442590986003329,0.0,0.0,0.0,0.0,0.0,0.0
1407442590987033118,0.0,0.0,0.0,0.0,0.0,0.0
1407442590987991212,0.0,0.0,0.0,0.0,0.0,0.0
1407442590989011812,0.0,0.0,0.0,0.0,0.0,0.0
1407442590990088474,0.0,0.0,0.0,0.0,0.0,0.0
1407442590991077755,0.0,0.0,0.0,0.0,0.0,0.0
1407442590992077151,0.0,0.0,0.0,0.0,0.0,0.0
1407442590993073619,0.0,0.0,0.0,0.0,0.0,0.0
1407442590994040767,0.0,0.0,0.0,0.0,0.0,0.0
1407442590995078776,0.0,0.0,0.0,0.0,0.0,0.0
1407442590995988047,0.0,0.0,0.0,0.0,0.0,0.0
1407442590997072082,0.0,0.0,0.0,0.0,0.0,0.0
1407442590998096165,0.0,0.0,0.0,0.0,0.0,0.0
1407442590999160449,0.0,0.0,0.0,0.0,0.0,0.0
1407442591000182212,0.0,0.0,0.0,0.0,0.0,0.0
1407442591001090155,0.0,0.0,0.0,0.0,0.0,0.0
1407442591002153828,0.0,0.0,0.0,0.0,0.0,0.0
1407442591003103773,0.0,0.0,0.0,0.0,0.0,0.0
1407442591004141756,0.0,0.0,0.0,0.0,0.0,0.0
1407442591005113418,0.0,0.0,0.0,0.0,0.0,0.0
1407442591006121933,0.0,0.0,0.0,0.0,0.0,0.0
1407442591007162937,0.0,0.0,0.0,0.0,0.0,0.0
1407442591008176807,0.0,0.0,0.0,0.0,0.0,0.0
1407442591009172489,0.0,0.0,0.0,0.0,0.0,0.0
1407442591010047806,0.0,0.0,0.0,0.0,0.0,0.0
1407442591011053750,0.0,0.0,0.0,0.0,0.0,0.0
1407442591012150149,0.0,0.0,0.0,0.0,0.0,0.0
1407442591013138930,0.0,0.0,0.0,0.0,0.0,0.0
1407442591014176128,0.0,0.0,0.0,0.0,0.0,0.0
1407442591015038280,0.0,0.0,0.0,0.0,0.0,0.0
1407442591016160586,0.0,0.0,0.0,0.0,0.0,0.0
