%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407436104131573080,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131589054,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131635324,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131690065,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131748364,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131789725,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131837204,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131888985,10.0,0.0,0.0,0.0,0.0,0.0
1407436104131937449,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132006855,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132081884,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132133874,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132193709,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132251347,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132295290,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132335737,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132381334,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132435937,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132482215,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132537697,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132597462,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132649757,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132704604,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132760152,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132816920,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132870330,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132925831,10.0,0.0,0.0,0.0,0.0,0.0
1407436104132981078,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133036175,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133091290,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133149202,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133201325,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133256008,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133311666,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133371176,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133421952,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133462876,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133501677,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133539366,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133587442,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133643797,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133698960,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133754780,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133809833,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133865075,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133915695,10.0,0.0,0.0,0.0,0.0,0.0
1407436104133967548,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134035180,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134078460,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134126621,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134165512,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134207731,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134248484,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134286821,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134327025,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134364154,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134408662,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134447268,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134497059,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134556220,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134613371,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134681757,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134735315,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134792576,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134847036,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134901363,10.0,0.0,0.0,0.0,0.0,0.0
1407436104134952501,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135009764,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135112445,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135121016,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135170743,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135231935,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135286676,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135329629,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135383277,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135424801,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135479003,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135521081,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135557447,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135596069,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135635996,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135680684,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135720231,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135757866,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135797858,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135836925,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135879173,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135919986,10.0,0.0,0.0,0.0,0.0,0.0
1407436104135961985,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136013305,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136054150,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136093185,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136132345,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136170337,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136210684,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136249467,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136288919,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136327593,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136366720,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136404866,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136444874,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136484570,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136526840,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136580771,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136625865,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136686459,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136744423,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136801031,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136852364,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136906056,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136943066,10.0,0.0,0.0,0.0,0.0,0.0
1407436104136984175,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137023242,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137061707,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137100863,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137146249,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137200420,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137256822,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137312874,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137353128,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137405816,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137445523,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137485089,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137523713,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137563471,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137607003,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137647076,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137684979,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137725016,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137764044,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137807914,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137847469,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137887568,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137930242,10.0,0.0,0.0,0.0,0.0,0.0
1407436104137983450,10.0,0.0,0.0,0.0,0.0,0.0
1407436104138022344,10.0,0.0,0.0,0.0,0.0,0.0
1407436104138070210,10.0,0.0,0.0,0.0,0.0,0.0
1407436104138125598,10.0,0.0,0.0,0.0,0.0,0.0
1407436104138166611,10.0,0.0,0.0,0.0,0.0,0.0
1407436104138209553,10.0,0.0,0.0,0.0,0.0,0.0
